package,category,first_version,last_version
ABAData,experiment,302,314
ABAEnrichment,bioc,302,314
ABSSeq,bioc,214,
ABarray,bioc,109,
ACE,bioc,308,
ACME,bioc,200,
ADAM,bioc,309,
ADAMgui,bioc,309,
ADImpute,bioc,312,
ADaCGH2,bioc,207,
AGDEX,bioc,209,
AHCytoBands,annotation,305,
AHEnsDbs,annotation,305,
AHLRBaseDbs,annotation,313,
AHMassBank,bioc,317,
AHMeSHDbs,annotation,313,
AHPathbankDbs,annotation,313,
AHPubMedDbs,annotation,313,
AHWikipathwaysDbs,annotation,313,
AIMS,bioc,301,
ALDEx2,bioc,300,
ALL,experiment,108,
ALLMLL,experiment,109,
ALPS,bioc,310,313
AMARETTO,bioc,309,
AMOUNTAIN,bioc,304,
ANCOMBC,bioc,312,
ANF,bioc,306,
APAlyzer,bioc,310,
APL,bioc,315,
ARRmData,experiment,212,
ARRmNormalization,bioc,212,
ASAFE,bioc,304,
ASEB,bioc,210,
ASGSCA,bioc,300,
ASICS,bioc,307,
ASICSdata,experiment,307,
ASSET,bioc,213,
ASSIGN,bioc,214,
ASURAT,bioc,315,
ASpediaFI,bioc,310,316
ASpli,bioc,304,
ATACCoGAPS,bioc,316,
ATACseqQC,bioc,305,
ATACseqTFEA,bioc,316,
AUCell,bioc,306,
AWFisher,bioc,310,
AffiXcan,bioc,308,
AffyCompatible,bioc,202,316
AffyExpress,bioc,201,312
AffyRNADegradation,bioc,210,
AffyTiling,bioc,204,303
Affyhgu133A2Expr,experiment,214,
Affyhgu133Plus2Expr,experiment,214,
Affyhgu133aExpr,experiment,214,
AffymetrixDataTestFiles,experiment,201,
Affymoe4302Expr,experiment,214,
Affymoe430Expr,experiment,214,214
Agi4x44PreProcess,bioc,203,213
AgiMicroRna,bioc,205,
AllelicImbalance,bioc,213,
AlphaBeta,bioc,310,
AlphaMissense.v2023.hg19,annotation,318,
AlphaMissense.v2023.hg38,annotation,318,
AlphaMissenseR,bioc,319,
AlpsNMR,bioc,312,
AmpAffyExample,experiment,109,
AnVIL,bioc,311,
AnVILAz,bioc,320,
AnVILBase,bioc,320,
AnVILBilling,bioc,312,
AnVILGCP,bioc,320,
AnVILPublish,bioc,312,
AnVILWorkflow,bioc,317,
AnalysisPageServer,bioc,301,311
Anaquin,bioc,304,
AneuFinder,bioc,303,
AneuFinderData,experiment,303,
AnnBuilder,bioc,108,203
AnnotationDbi,bioc,201,
AnnotationFilter,bioc,305,
AnnotationForge,bioc,211,
AnnotationFuncs,bioc,208,312
AnnotationHub,bioc,212,
AnnotationHubData,bioc,302,
ArrayExpress,bioc,203,
ArrayExpressHTS,bioc,208,316
ArrayTV,bioc,213,311
ArrayTools,bioc,203,312
AshkenazimSonChr21,experiment,302,
AssessORF,bioc,308,
AssessORFData,experiment,308,319
AtlasRDF,bioc,214,306
Autotuner,bioc,310,313
BAC,bioc,202,316
BADER,bioc,213,
BAGS,bioc,213,
BANDITS,bioc,309,
BASiCS,bioc,306,
BASiCStan,bioc,316,
BBCAnalyzer,bioc,302,
BCRANK,bioc,202,
BDMMAcorrect,bioc,308,317
BEARscc,bioc,307,
BEAT,bioc,214,
BERT,bioc,319,
BEclear,bioc,301,
BG2,bioc,317,
BGmix,bioc,202,317
BHC,bioc,207,319
BLMA,bioc,305,
BOBaFIT,bioc,315,
BP4RNAseq,workflows,312,
BPRMeth,bioc,304,
BRAIN,bioc,210,
BREW3R.r,bioc,319,
BRGenomics,bioc,311,318
BSgenome,bioc,109,
BSgenome.Alyrata.JGI.v1,annotation,208,
BSgenome.Amellifera.BeeBase.assembly4,annotation,203,
BSgenome.Amellifera.NCBI.AmelHAv3.1,annotation,312,
BSgenome.Amellifera.UCSC.apiMel2,annotation,203,
BSgenome.Amellifera.UCSC.apiMel2.masked,annotation,214,
BSgenome.Aofficinalis.NCBI.V1,annotation,308,
BSgenome.Athaliana.TAIR.01222004,annotation,202,207
BSgenome.Athaliana.TAIR.04232008,annotation,203,
BSgenome.Athaliana.TAIR.TAIR9,annotation,207,
BSgenome.Btaurus.UCSC.bosTau3,annotation,202,
BSgenome.Btaurus.UCSC.bosTau3.masked,annotation,214,
BSgenome.Btaurus.UCSC.bosTau4,annotation,203,
BSgenome.Btaurus.UCSC.bosTau4.masked,annotation,214,
BSgenome.Btaurus.UCSC.bosTau6,annotation,212,
BSgenome.Btaurus.UCSC.bosTau6.masked,annotation,214,
BSgenome.Btaurus.UCSC.bosTau8,annotation,301,
BSgenome.Btaurus.UCSC.bosTau9,annotation,310,
BSgenome.Btaurus.UCSC.bosTau9.masked,annotation,314,
BSgenome.Carietinum.NCBI.v1,annotation,308,
BSgenome.Celegans.UCSC.ce10,annotation,211,
BSgenome.Celegans.UCSC.ce11,annotation,302,
BSgenome.Celegans.UCSC.ce2,annotation,109,
BSgenome.Celegans.UCSC.ce6,annotation,207,
BSgenome.Cfamiliaris.UCSC.canFam2,annotation,202,
BSgenome.Cfamiliaris.UCSC.canFam2.masked,annotation,214,
BSgenome.Cfamiliaris.UCSC.canFam3,annotation,211,
BSgenome.Cfamiliaris.UCSC.canFam3.masked,annotation,214,
BSgenome.Cjacchus.UCSC.calJac3,annotation,309,
BSgenome.Cjacchus.UCSC.calJac4,annotation,315,
BSgenome.CneoformansVarGrubiiKN99.NCBI.ASM221672v1,annotation,315,
BSgenome.Creinhardtii.JGI.v5.6,annotation,312,
BSgenome.Dmelanogaster.BDGP.Release5,annotation,109,201
BSgenome.Dmelanogaster.FlyBase.r51,annotation,200,202
BSgenome.Dmelanogaster.UCSC.dm2,annotation,109,
BSgenome.Dmelanogaster.UCSC.dm2.masked,annotation,214,
BSgenome.Dmelanogaster.UCSC.dm3,annotation,202,
BSgenome.Dmelanogaster.UCSC.dm3.masked,annotation,214,
BSgenome.Dmelanogaster.UCSC.dm6,annotation,301,
BSgenome.Drerio.UCSC.danRer10,annotation,302,
BSgenome.Drerio.UCSC.danRer11,annotation,310,
BSgenome.Drerio.UCSC.danRer5,annotation,204,
BSgenome.Drerio.UCSC.danRer5.masked,annotation,214,
BSgenome.Drerio.UCSC.danRer6,annotation,207,
BSgenome.Drerio.UCSC.danRer6.masked,annotation,214,
BSgenome.Drerio.UCSC.danRer7,annotation,208,
BSgenome.Drerio.UCSC.danRer7.masked,annotation,214,
BSgenome.Dvirilis.Ensembl.dvircaf1,annotation,311,
BSgenome.Ecoli.NCBI.20080805,annotation,203,
BSgenome.Gaculeatus.UCSC.gasAcu1,annotation,207,
BSgenome.Gaculeatus.UCSC.gasAcu1.masked,annotation,214,
BSgenome.Ggallus.UCSC.galGal3,annotation,201,
BSgenome.Ggallus.UCSC.galGal3.masked,annotation,214,
BSgenome.Ggallus.UCSC.galGal4,annotation,211,
BSgenome.Ggallus.UCSC.galGal4.masked,annotation,214,
BSgenome.Ggallus.UCSC.galGal5,annotation,304,
BSgenome.Ggallus.UCSC.galGal6,annotation,310,
BSgenome.Gmax.NCBI.Gmv40,annotation,315,
BSgenome.Hsapiens.1000genomes.hs37d5,annotation,301,
BSgenome.Hsapiens.NCBI.GRCh38,annotation,214,
BSgenome.Hsapiens.NCBI.T2T.CHM13v2.0,annotation,315,
BSgenome.Hsapiens.NCBI.b36v3,annotation,202,202
BSgenome.Hsapiens.UCSC.hg16,annotation,109,201
BSgenome.Hsapiens.UCSC.hg17,annotation,109,
BSgenome.Hsapiens.UCSC.hg17.masked,annotation,214,
BSgenome.Hsapiens.UCSC.hg18,annotation,109,
BSgenome.Hsapiens.UCSC.hg18.masked,annotation,214,
BSgenome.Hsapiens.UCSC.hg19,annotation,204,
BSgenome.Hsapiens.UCSC.hg19.masked,annotation,214,
BSgenome.Hsapiens.UCSC.hg38,annotation,301,
BSgenome.Hsapiens.UCSC.hg38.dbSNP151.major,annotation,313,
BSgenome.Hsapiens.UCSC.hg38.dbSNP151.minor,annotation,313,
BSgenome.Hsapiens.UCSC.hg38.masked,annotation,301,
BSgenome.Hsapiens.UCSC.hs1,annotation,316,
BSgenome.Mdomestica.UCSC.monDom5,annotation,309,
BSgenome.Mfascicularis.NCBI.5.0,annotation,301,
BSgenome.Mfascicularis.NCBI.6.0,annotation,315,
BSgenome.Mfuro.UCSC.musFur1,annotation,300,
BSgenome.Mmulatta.UCSC.rheMac10,annotation,310,
BSgenome.Mmulatta.UCSC.rheMac2,annotation,210,
BSgenome.Mmulatta.UCSC.rheMac2.masked,annotation,214,
BSgenome.Mmulatta.UCSC.rheMac3,annotation,213,
BSgenome.Mmulatta.UCSC.rheMac3.masked,annotation,214,
BSgenome.Mmulatta.UCSC.rheMac8,annotation,303,
BSgenome.Mmusculus.UCSC.mm10,annotation,210,
BSgenome.Mmusculus.UCSC.mm10.masked,annotation,214,
BSgenome.Mmusculus.UCSC.mm39,annotation,314,
BSgenome.Mmusculus.UCSC.mm6,annotation,201,201
BSgenome.Mmusculus.UCSC.mm7,annotation,109,201
BSgenome.Mmusculus.UCSC.mm8,annotation,200,
BSgenome.Mmusculus.UCSC.mm8.masked,annotation,214,
BSgenome.Mmusculus.UCSC.mm9,annotation,201,
BSgenome.Mmusculus.UCSC.mm9.masked,annotation,214,
BSgenome.Osativa.MSU.MSU7,annotation,213,
BSgenome.Ppaniscus.UCSC.panPan1,annotation,312,
BSgenome.Ppaniscus.UCSC.panPan2,annotation,312,
BSgenome.Ptroglodytes.UCSC.panTro2,annotation,202,
BSgenome.Ptroglodytes.UCSC.panTro2.masked,annotation,214,
BSgenome.Ptroglodytes.UCSC.panTro3,annotation,211,
BSgenome.Ptroglodytes.UCSC.panTro3.masked,annotation,214,
BSgenome.Ptroglodytes.UCSC.panTro5,annotation,304,
BSgenome.Ptroglodytes.UCSC.panTro6,annotation,307,
BSgenome.Rnorvegicus.UCSC.rn4,annotation,203,
BSgenome.Rnorvegicus.UCSC.rn4.masked,annotation,214,
BSgenome.Rnorvegicus.UCSC.rn5,annotation,211,
BSgenome.Rnorvegicus.UCSC.rn5.masked,annotation,214,
BSgenome.Rnorvegicus.UCSC.rn6,annotation,301,
BSgenome.Rnorvegicus.UCSC.rn7,annotation,313,
BSgenome.Scerevisiae.UCSC.sacCer1,annotation,109,
BSgenome.Scerevisiae.UCSC.sacCer2,annotation,205,
BSgenome.Scerevisiae.UCSC.sacCer3,annotation,209,
BSgenome.Sscrofa.UCSC.susScr11,annotation,307,
BSgenome.Sscrofa.UCSC.susScr3,annotation,214,
BSgenome.Sscrofa.UCSC.susScr3.masked,annotation,214,
BSgenome.Tgondii.ToxoDB.7.0,annotation,210,
BSgenome.Tguttata.UCSC.taeGut1,annotation,214,
BSgenome.Tguttata.UCSC.taeGut1.masked,annotation,214,
BSgenome.Tguttata.UCSC.taeGut2,annotation,302,
BSgenome.Vvinifera.URGI.IGGP12Xv0,annotation,302,
BSgenome.Vvinifera.URGI.IGGP12Xv2,annotation,302,
BSgenome.Vvinifera.URGI.IGGP8X,annotation,303,
BSgenomeForge,bioc,317,
BUMHMM,bioc,305,
BUS,bioc,205,
BUScorrect,bioc,308,
BUSpaRse,bioc,310,
BUSseq,bioc,314,
BaalChIP,bioc,304,
BadRegionFinder,bioc,303,
Banksy,bioc,319,
BaseSpaceR,bioc,212,
Basic4Cseq,bioc,214,
BasicSTARRseq,bioc,303,
BatchQC,bioc,303,
BayesKnockdown,bioc,304,
BayesPeak,bioc,206,311
BayesSpace,bioc,312,
BeadArrayUseCases,experiment,209,
BeadDataPackR,bioc,206,
BeadExplorer,bioc,109,201
BeadSorted.Saliva.EPIC,experiment,313,
BgeeCall,bioc,309,
BgeeDB,bioc,303,
BiFET,bioc,307,
BiGGR,bioc,213,
BiRewire,bioc,213,
BiSeq,bioc,212,
BicARE,bioc,203,
BindingSiteFinder,bioc,314,
BioCartaImage,bioc,318,
BioCor,bioc,305,
BioGA,bioc,320,
BioImageDbs,experiment,313,
BioMM,bioc,309,317
BioMVCClass,bioc,109,
BioMartGOGeneSets,annotation,317,
BioMedR,bioc,305,306
BioNAR,bioc,316,
BioNERO,bioc,313,
BioNet,bioc,207,
BioNetStat,bioc,307,318
BioPlex,experiment,314,
BioQC,bioc,303,
BioSeqClass,bioc,205,311
BioTIP,bioc,310,
Biobase,bioc,108,
BiocBaseUtils,bioc,316,
BiocBook,bioc,318,
BiocCaseStudies,bioc,202,312
BiocCheck,bioc,214,
BiocDockerManager,bioc,311,317
BiocFHIR,bioc,316,
BiocFileCache,bioc,305,
BiocGenerics,bioc,210,
BiocHail,bioc,317,
BiocHubsShiny,bioc,317,
BiocIO,bioc,312,
BiocInstaller,bioc,209,308
BiocMetaWorkflow,workflows,307,
BiocNeighbors,bioc,308,
BiocOncoTK,bioc,307,319
BiocParallel,bioc,212,
BiocPkgTools,bioc,308,
BiocSet,bioc,310,
BiocSingular,bioc,309,
BiocSklearn,bioc,306,
BiocStyle,bioc,213,
BiocVersion,bioc,307,
BiocWorkflowTools,bioc,304,
Biostrings,bioc,108,
BitSeq,bioc,210,316
BloodCancerMultiOmics2017,experiment,307,
BloodGen3Module,bioc,313,
BrainSABER,bioc,312,316
BrainStars,bioc,210,312
BridgeDbR,bioc,300,
BrowserViz,bioc,301,
BrowserVizDemo,bioc,301,307
BubbleTree,bioc,301,
BufferedMatrix,bioc,200,
BufferedMatrixMethods,bioc,200,
BumpyMatrix,bioc,313,
CAEN,bioc,313,
CAFE,bioc,214,
CAGEWorkflow,workflows,309,
CAGEfightR,bioc,307,
CAGEr,bioc,212,
CALIB,bioc,200,310
CAMERA,bioc,204,
CAMTHC,bioc,308,311
CARNIVAL,bioc,311,
CATALYST,bioc,305,
CAnD,bioc,301,315
CBEA,bioc,315,
CBNplot,bioc,317,
CCPROMISE,bioc,304,
CCPlotR,bioc,318,
CCl4,experiment,201,
CDI,bioc,318,
CEMiTool,bioc,306,
CFAssay,bioc,300,
CGEN,bioc,207,
CGHbase,bioc,203,
CGHcall,bioc,201,
CGHnormaliter,bioc,205,
CGHregions,bioc,203,
CHARGE,bioc,307,311
CHETAH,bioc,309,
CHRONOS,bioc,303,
CIMICE,bioc,313,
CINdex,bioc,303,
CLL,experiment,109,
CLLmethylation,experiment,307,
CMA,bioc,203,
CNAnorm,bioc,209,
CNEr,bioc,214,
CNORdt,bioc,211,
CNORfeeder,bioc,212,
CNORfuzzy,bioc,211,
CNORode,bioc,211,
CNPBayes,bioc,302,309
CNTools,bioc,205,
CNVMetrics,bioc,315,
CNVPanelizer,bioc,302,
CNVRanger,bioc,309,
CNVfilteR,bioc,310,
CNVgears,bioc,313,318
CNViz,bioc,313,
CNVrd2,bioc,213,
CNVtools,bioc,205,311
COCOA,bioc,308,
CODEX,bioc,301,
COHCAP,bioc,214,318
COHCAPanno,experiment,214,
COMPASS,bioc,214,
CONFESS,bioc,303,
CONFESSdata,experiment,303,
CONSTANd,bioc,313,
COPDSexualDimorphism,bioc,214,300
COPDSexualDimorphism.data,experiment,214,
CORREP,bioc,200,318
COSMIC.67,experiment,214,
COSNet,bioc,300,
COTAN,bioc,315,
CRCL18,experiment,300,
CRISPRball,bioc,319,
CRISPRseek,bioc,214,
CRImage,bioc,207,
CSAR,bioc,206,
CSSP,bioc,213,317
CSSQ,bioc,311,
CTCF,annotation,314,
CTDquerier,bioc,307,
CTSV,bioc,316,
CTdata,bioc,317,
CTexploreR,bioc,319,
CVE,bioc,304,310
CaDrA,bioc,318,
CaMutQC,bioc,319,
CancerInSilico,bioc,304,316
CancerMutationAnalysis,bioc,210,312
CancerSubtypes,bioc,304,319
Cardinal,bioc,301,
CardinalIO,bioc,318,
CardinalWorkflows,experiment,301,
Category,bioc,108,
CausalR,bioc,302,
CeTF,bioc,311,
CelegansGenome.ce2,annotation,108,108
CellBarcode,bioc,314,
CellBench,bioc,309,
CellMapper,bioc,304,
CellMapperData,experiment,304,
CellMixS,bioc,309,
CellNOptR,bioc,209,
CellScore,bioc,307,
CellTrails,bioc,308,
CellaRepertorium,bioc,312,318
CelliD,bioc,313,
Cepo,bioc,314,
CexoR,bioc,213,
ChAMP,bioc,213,
ChAMPdata,experiment,213,
ChIC,bioc,307,317
ChIC.data,experiment,307,318
ChIPComp,bioc,302,
ChIPQC,bioc,214,
ChIPSeqSpike,bioc,307,312
ChIPXpress,bioc,211,
ChIPXpressData,experiment,211,
ChIPanalyser,bioc,306,
ChIPexoQual,bioc,305,
ChIPexoQualExample,experiment,305,
ChIPpeakAnno,bioc,205,
ChIPseeker,bioc,214,
ChIPseqR,bioc,205,
ChIPsim,bioc,205,
ChemmineDrugs,annotation,300,
ChemmineOB,bioc,213,
ChemmineR,bioc,203,
Chicago,bioc,303,
ChimpHumanBrainData,experiment,214,
ChromHeatMap,bioc,205,
ChromSCape,bioc,312,
ChromoViz,bioc,108,201
CircSeqAlignTk,bioc,316,
CiteFuse,bioc,311,
ClassifyR,bioc,300,
CleanUpRNAseq,bioc,320,
Clomial,bioc,214,
Clonality,bioc,208,317
CluMSID,bioc,309,
CluMSIDdata,experiment,309,
ClustAll,bioc,319,
ClustIRR,bioc,318,
ClusterFoldSimilarity,bioc,319,
ClusterJudge,bioc,306,
ClusterSignificance,bioc,303,
CoCiteStats,bioc,108,
CoGAPS,bioc,207,
CoRegFlux,bioc,309,312
CoRegNet,bioc,300,317
CoSIA,bioc,317,318
CoSIAdata,experiment,317,319
Cogito,bioc,314,
ComPrAn,bioc,313,
CompGO,bioc,214,313
ComplexHeatmap,bioc,301,
CompoundDb,bioc,315,
ConnectivityMap,experiment,212,
ConsensusClusterPlus,bioc,206,
CopyNeutralIMA,experiment,308,
CopyNumber450k,bioc,214,303
CopyNumber450kData,experiment,214,305
CopyNumberPlots,bioc,309,
CopyhelpeR,experiment,301,
CopywriteR,bioc,301,316
CorMut,bioc,211,311
CoreGx,bioc,311,
Cormotif,bioc,209,
CountClust,bioc,303,313
CoverageView,bioc,214,
CrispRVariants,bioc,303,
CrossICC,bioc,310,311
CuratedAtlasQueryR,bioc,318,
CyTOFpower,bioc,314,
CytoDx,bioc,307,
CytoGLMM,bioc,313,
CytoMDS,bioc,319,
CytoML,bioc,304,
CytoMethIC,experiment,319,
CytoPipeline,bioc,317,
CytoPipelineGUI,bioc,318,
CytoTree,bioc,312,315
DAMEfinder,bioc,311,
DAPAR,bioc,302,
DAPARdata,experiment,303,
DART,bioc,210,
DASC,bioc,306,306
DASiR,bioc,212,303
DAVIDQuery,bioc,204,302
DBChIP,bioc,211,312
DCATS,bioc,318,
DChIPRep,bioc,302,311
DECIPHER,bioc,209,
DEComplexDisease,bioc,307,316
DEDS,bioc,108,310
DEFormats,bioc,303,
DEGraph,bioc,207,
